,Date,Open,Close,High,Low,Volume,S&P500,PeRatio,PsRatio,PbRatio,EnterpriseValueRevenueRatio,EnterpriseValueEDITDARatio,BasicEPS
78,2013-08-26,17.883928,17.963215,18.22143,17.875,330965600,1656.78,9.468,2.221,2.659,9.429,30.57,0.268
79,2013-08-27,17.785713,17.449642,17.946787,17.367857,424188800,1630.48,9.468,2.221,2.659,9.429,30.57,0.268
80,2013-08-28,17.357143,17.532143,17.707144,17.357143,307608000,1634.96,9.468,2.221,2.659,9.429,30.57,0.268
81,2013-08-29,17.558929,17.560715,17.732143,17.540358,239657600,1638.17,9.468,2.221,2.659,9.429,30.57,0.268
82,2013-08-30,17.571428,17.400715,17.605356,17.375,272297200,1632.97,9.468,2.221,2.659,9.429,30.57,0.268
83,2013-09-03,17.610714,17.449286,17.878571,17.405357,331928800,1639.77,9.468,2.221,2.659,9.429,30.57,0.268
84,2013-09-04,17.841429,17.810356,17.937143,17.724285,345032800,1653.08,9.468,2.221,2.659,9.429,30.57,0.268
85,2013-09-05,17.866072,17.688213,17.88143,17.629999,236367600,1655.08,9.468,2.221,2.659,9.429,30.57,0.268
86,2013-09-06,17.80143,17.793571,17.834999,17.498215,359525600,1655.17,9.468,2.221,2.659,9.429,30.57,0.268
87,2013-09-09,18.035713,18.077499,18.139999,17.981428,340687200,1671.71,9.468,2.221,2.659,9.429,30.57,0.268
88,2013-09-10,18.078571,17.665714,18.123215,17.482143,743195600,1683.99,9.468,2.221,2.659,9.429,30.57,0.268
89,2013-09-11,16.678928,16.70393,16.9175,16.600357,898696400,1689.13,9.468,2.221,2.659,9.429,30.57,0.268
90,2013-09-12,16.732143,16.881786,16.978571,16.643213,404051200,1683.42,9.468,2.221,2.659,9.429,30.57,0.268
91,2013-09-13,16.762142,16.603571,16.85107,16.59643,298835600,1687.99,9.468,2.221,2.659,9.429,30.57,0.268
92,2013-09-16,16.464287,16.075714,16.486071,15.972143,543706800,1697.6,9.468,2.221,2.659,9.429,30.57,0.268
93,2013-09-17,15.998571,16.261429,16.418215,15.982143,399380800,1704.76,9.468,2.221,2.659,9.429,30.57,0.268
94,2013-09-18,16.542143,16.595715,16.655357,16.452143,456862000,1725.52,9.468,2.221,2.659,9.429,30.57,0.268
95,2013-09-19,16.810715,16.867857,16.993929,16.758928,404541200,1722.34,9.468,2.221,2.659,9.429,30.57,0.268
96,2013-09-20,17.071428,16.693214,17.09107,16.642857,699302800,1709.91,9.468,2.221,2.659,9.429,30.57,0.268
97,2013-09-23,17.717857,17.522858,17.746786,17.235714,762106800,1701.84,9.468,2.221,2.659,9.429,30.57,0.268
98,2013-09-24,17.674286,17.467857,17.695356,17.422144,364344400,1697.42,9.468,2.221,2.659,9.429,30.57,0.268
99,2013-09-25,17.47143,17.1975,17.487143,17.19393,316957200,1692.77,9.468,2.221,2.659,9.429,30.57,0.268
100,2013-09-26,17.357143,17.365,17.44857,17.282143,237221600,1698.67,9.468,2.221,2.659,9.429,30.57,0.268
101,2013-09-27,17.277857,17.241072,17.309643,17.168571,228040400,1691.75,9.468,2.221,2.659,9.429,30.57,0.268
102,2013-09-30,17.044643,17.026787,17.202143,16.943214,260156400,1681.55,11.886,2.649,3.475,10.756,34.119,0.297
103,2013-10-01,17.0875,17.427143,17.469286,17.084999,353883600,1695.0,11.886,2.649,3.475,10.756,34.119,0.297
104,2013-10-02,17.343929,17.484285,17.564285,17.276787,289184000,1693.87,11.886,2.649,3.475,10.756,34.119,0.297
105,2013-10-03,17.518213,17.264643,17.583929,17.169287,322753200,1678.66,11.886,2.649,3.475,10.756,34.119,0.297
106,2013-10-04,17.280714,17.251072,17.307142,17.092857,258868400,1690.5,11.886,2.649,3.475,10.756,34.119,0.297
107,2013-10-07,17.377144,17.419643,17.594643,17.333929,312292400,1676.12,11.886,2.649,3.475,10.756,34.119,0.297
108,2013-10-08,17.497856,17.17643,17.522858,17.162144,290917200,1655.45,11.886,2.649,3.475,10.756,34.119,0.297
109,2013-10-09,17.308571,17.378214,17.42107,17.081429,301725200,1656.4,11.886,2.649,3.475,10.756,34.119,0.297
110,2013-10-10,17.547144,17.487143,17.584999,17.394285,278602800,1692.56,11.886,2.649,3.475,10.756,34.119,0.297
111,2013-10-11,17.3925,17.600357,17.637142,17.327143,267738800,1703.2,11.886,2.649,3.475,10.756,34.119,0.297
112,2013-10-14,17.493929,17.715714,17.770714,17.476786,261898000,1710.14,11.886,2.649,3.475,10.756,34.119,0.297
113,2013-10-15,17.768213,17.809999,17.928572,17.697144,320073600,1698.06,11.886,2.649,3.475,10.756,34.119,0.297
114,2013-10-16,17.885357,17.896786,17.9475,17.829643,251101200,1721.54,11.886,2.649,3.475,10.756,34.119,0.297
115,2013-10-17,17.856428,18.017857,18.027857,17.845715,253593200,1733.15,11.886,2.649,3.475,10.756,34.119,0.297
116,2013-10-18,18.071072,18.174643,18.187857,18.061071,290542000,1744.5,11.886,2.649,3.475,10.756,34.119,0.297
117,2013-10-21,18.2775,18.620001,18.725,18.268572,398106800,1744.66,11.886,2.649,3.475,10.756,34.119,0.297
118,2013-10-22,18.800358,18.566786,18.873215,18.143929,534063600,1754.67,11.886,2.649,3.475,10.756,34.119,0.297
119,2013-10-23,18.535713,18.748571,18.77393,18.535713,313723200,1746.38,11.886,2.649,3.475,10.756,34.119,0.297
120,2013-10-24,18.75,18.996786,19.016787,18.65893,384764800,1752.07,11.886,2.649,3.475,10.756,34.119,0.297
121,2013-10-25,18.975714,18.784286,19.043928,18.753929,337792000,1759.77,11.886,2.649,3.475,10.756,34.119,0.297
122,2013-10-28,18.894285,18.924286,18.964287,18.686071,550440800,1762.11,11.886,2.649,3.475,10.756,34.119,0.297
123,2013-10-29,19.1525,18.452856,19.258928,18.376429,635807200,1771.95,11.886,2.649,3.475,10.756,34.119,0.297
124,2013-10-30,18.557501,18.746429,18.84,18.465,354163600,1763.31,11.886,2.649,3.475,10.756,34.119,0.297
125,2013-10-31,18.75,18.667856,18.838928,18.616785,275696400,1756.54,11.886,2.649,3.475,10.756,34.119,0.297
126,2013-11-01,18.715,18.5725,18.742857,18.422857,274890000,1761.64,11.886,2.649,3.475,10.756,34.119,0.297
127,2013-11-04,18.610714,18.8125,18.815001,18.528929,244627600,1767.93,11.886,2.649,3.475,10.756,34.119,0.297
128,2013-11-05,18.735001,18.766071,18.888929,18.678572,265213200,1762.97,11.886,2.649,3.475,10.756,34.119,0.297
129,2013-11-06,18.719643,18.604286,18.745001,18.507143,223375600,1770.49,11.886,2.649,3.475,10.756,34.119,0.297
130,2013-11-07,18.556429,18.303213,18.685356,18.299286,262620400,1747.15,11.886,2.649,3.475,10.756,34.119,0.297
